City_Name,Zone_Name,Ward_Name,Ward_No,Total_Junctions,Operational_Signalized_Intersections,Signalization_Rate
Thruvananthapuram City,Traffic South Zone,PAPPANAMCODE,52,3,1,0.33
Thruvananthapuram City,Traffic South Zone,PATTOM,17,12,13,1.08
Thruvananthapuram City,Traffic South Zone,PERUNTHANNI,84,1,0,0.0
Thruvananthapuram City,Traffic South Zone,PETTAH,93,4,2,0.5
Thruvananthapuram City,Traffic South Zone,POONKULAM,58,3,0,0.0
Thruvananthapuram City,Traffic South Zone,PUNCHAKKARI,57,1,0,0.0
Thruvananthapuram City,Traffic South Zone,Palayam,27,11,7,0.64
Thruvananthapuram City,Traffic South Zone,Pallichal Panchayath,21,1,1,1.0
Thruvananthapuram City,Traffic South Zone,Pallichal Panchayath,23,1,1,1.0
Thruvananthapuram City,Traffic South Zone,Patttom,17,1,1,1.0
Thruvananthapuram City,Traffic South Zone,Peroorkada,31,3,3,1.0
Thruvananthapuram City,Traffic South Zone,SREEVARAHAM,79,5,0,0.0
Thruvananthapuram City,Traffic South Zone,Sasthamangalam,22,3,0,0.0
Thruvananthapuram City,Traffic South Zone,THAMPANOOR,81,4,4,1.0
Thruvananthapuram City,Traffic South Zone,THIRUVALLAM,65,4,1,0.25
Thruvananthapuram City,Traffic South Zone,Thampanoor Ward,81,9,5,0.56
Thruvananthapuram City,Traffic South Zone,Thuruthumoola,32,1,0,0.0
Thruvananthapuram City,Traffic South Zone,Thycadu,28,4,1,0.25
Thruvananthapuram City,Traffic South Zone,ULLOOR,6,4,4,1.0
Thruvananthapuram City,Traffic South Zone,VELLAR,64,2,0,0.0
Thruvananthapuram City,Traffic South Zone,VENGANOOR,59,2,0,0.0
Thruvananthapuram City,Traffic South Zone,vazhuthakadu,29,3,1,0.33
